Rk,Player,,2018-19
316,Jamal Crawford,crawfja01,2393887.00 
317,Tyson Chandler,chandty01,2393887.00 
318,Wayne Ellington,ellinwa01,2383076.00 
319,Lonnie Walker,walkelo01,2357160.00 
320,Jamal Crawford,crawfja01,2304226.00 
321,John Collins,collijo01,2299080.00 
322,Denzel Valentine,valende01,2280600.00 
323,Larry Nance Jr.,nancela02,2272391.00 
324,Kevin Huerter,huertke01,2250960.00 
325,Monta Ellis,ellismo01,2245400.00 
326,Harry Giles III,gilesha01,2207040.00 
327,Darius Miller,milleda01,2205000.00 
328,Derrick Rose,rosede01,2176260.00 
329,Omri Casspi,casspom01,2176260.00 
330,Juancho Hernangomez,hernaju01,2166360.00 
331,Quincy Pondexter,pondequ01,2165481.00 
332,Jonas Jerebko,jerebjo01,2165481.00 
333,Greg Monroe,monrogr01,2165481.00 
334,Josh Okogie,okogijo01,2160720.00 
335,Raul Neto,netora01,2150000.00 
336,Matt Barnes,barnema02,2133542.00 
337,Terrance Ferguson,fergute01,2118840.00 
338,Grayson Allen,allengr01,2074320.00 
339,Jarrett Allen,allenja01,2034120.00 
340,Isaiah Thomas,thomais02,2029463.00 
341,Shelvin Mack,macksh01,2029463.00 
342,Spencer Hawes,hawessp01,2007058.00 
343,Georgios Papagiannis,papagge01,2000400.00 
344,Torrey Craig,craigto01,2000000.00 
345,Corey Brewer,breweco01,2000000.00 
346,Chandler Hutchison,hutchch01,1991520.00 
347,OG Anunoby,anunoog01,1952760.00 
348,Ante Zizic,zizican01,1952760.00 
349,Shabazz Napier,napiesh01,1942422.00 
350,Anderson Varejão,varejan01,1913345.00 
351,Aaron Holiday,holidaa01,1911960.00 
352,Tim Duncan,duncati01,1881250.00 
353,Tyler Lydon,lydonty01,1874640.00 
354,Larry Sanders,sandela01,1865547.00 
355,Henry Ellenson,ellenhe01,1857480.00 
356,Anfernee Simons,simonan01,1835520.00 
357,Trey Burke,burketr01,1795015.00 
358,Malik Beasley,beaslma01,1773840.00 
359,Moritz Wagner,wagnemo01,1762080.00 
360,Nerlens Noel,noelne01,1757429.00 
361,Ian Clark,clarkia01,1757429.00 
362,Caleb Swanigan,swanica01,1740000.00 
363,Furkan Korkmaz,korkmfu01,1740000.00 
364,Joakim Noah,noahjo01,1731173.00 
365,Landry Shamet,shamela01,1703640.00 
366,Caris LeVert,leverca01,1702800.00 
367,Jonah Bolden,boldejo01,1690000.00 
368,Kyle Kuzma,kuzmaky01,1689840.00 
369,Tony Bradley,bradlto01,1679520.00 
370,Derrick White,whitede01,1667160.00 
371,Spencer Dinwiddie,dinwisp01,1656092.00 
372,MarShon Brooks,brookma01,1656092.00 
373,Josh Hart,hartjo01,1655160.00 
374,Robert Williams III,williro04,1654440.00 
375,Jacob Evans,evansja02,1644240.00 
376,Pat Connaughton,connapa01,1641000.00 
377,DeAndre' Bembry,bembrde01,1634640.00 
378,Džanan Musa,musadz01,1632240.00 
379,James Ennis III,ennisja01,1621415.00 
380,Noah Vonleh,vonleno01,1621415.00 
381,Tim Frazier,fraziti01,1621415.00 
382,Nik Stauskas,stausni01,1621415.00 
383,Omari Spellman,spellom01,1620480.00 
384,Luke Kornet,kornelu01,1619000.00 
385,Rodions Kurucs,kurucro01,1618320.00 
386,Richaun Holmes,holmeri01,1600520.00 
387,T.J. McConnell,mccontj01,1600520.00 
388,Malachi Richardson,richama01,1569360.00 
389,Kevon Looney,looneke01,1567007.00 
390,Jahlil Okafor,okafoja01,1567007.00 
391,Salah Mejri,mejrisa01,1567007.00 
392,Ivica Zubac,zubaciv01,1544951.00 
393,Dorian Finney-Smith,finnedo01,1544951.00 
394,Pascal Siakam,siakapa01,1544951.00 
395,Skal Labissiere,labissk01,1544951.00 
396,Dejounte Murray,murrade01,1544951.00 
397,Deyonta Davis,davisde01,1544951.00 
398,Jake Layman,laymaja01,1544951.00 
399,Cheick Diallo,diallch01,1544951.00 
400,Malcolm Brogdon,brogdma01,1544951.00 
401,Rodney McGruder,mcgruro01,1544951.00 
402,Wade Baldwin,baldwwa01,1544951.00 
403,Quinn Cook,cookqu01,1544951.00 
404,Damian Jones,jonesda03,1544951.00 
405,Chinanu Onuaku,onuakch01,1544951.00 
406,Willy Hernangómez,hernawi01,1544951.00 
407,Timothe Luwawu-Cabarrot,luwawti01,1544951.00 
408,Wayne Selden,seldewa01,1544951.00 
409,Georges Niang,niangge01,1512601.00 
410,Christian Wood,woodch01,1512601.00 
411,Derrick Jones Jr.,jonesde02,1512601.00 
412,David Nwaba,nwabada01,1512601.00 
413,Treveon Graham,grahatr01,1512601.00 
414,Sviatoslav Mykhailiuk,mykhasv01,1487694.00 
415,Mitchell Robinson,robinmi01,1485440.00 
416,Jordan Bell,belljo01,1378252.00 
417,Maxi Kleber,klebima01,1378242.00 
418,Thomas Bryant,bryanth01,1378242.00 
419,Khem Birch,birchkh01,1378242.00 
420,Daniel Theis,theisda01,1378242.00 
421,Wesley Iwundu,iwundwe01,1378242.00 
422,Abdel Nader,naderab01,1378242.00 
423,Damyean Dotson,dotsoda01,1378242.00 
424,Frank Jackson,jacksfr01,1378242.00 
425,Sterling Brown,brownst02,1378242.00 
426,Semi Ojeleye,ojelese01,1378242.00 
427,Ivan Rabb,rabbiv01,1378242.00 
