Starter (=1),FULL NAME,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,TEAM,POS,Win %
1,Willie Cauley-Stein,118.5,101.7,Sac,C,
1,Skal Labissiere,96,95.7,Sac,F,
1,Bogdan Bogdanovic,106.9,108.7,Sac,G,
1,De'Aaron Fox,109.9,107.1,Sac,G,
1,Buddy Hield,113.5,108.7,Sac,G,
,Harry Giles III,101.8,94.4,Sac,F-C,
,Nemanja Bjelica,117.2,102.9,Sac,F,
,Caleb Swanigan,96.8,91.7,Sac,F,
,Yogi Ferrell,114.9,110.7,Sac,G,
,Corey Brewer,121,101.1,Sac,G-F,
,,,,,,0.5853658537
1,Pau Gasol,120.4,101.1,San,C-F,
1,LaMarcus Aldridge,117.8,106.4,San,F,
1,Rudy Gay,111.5,102.6,San,F,
1,DeMar DeRozan,110,106.4,San,G,
1,Derrick White,111.2,104.7,San,G,
,Jakob Poeltl,135.6,102.6,San,C,
,Davis Bertans,121.9,105.4,San,F,
,Quincy Pondexter,123.5,104.8,San,F,
,Bryn Forbes,112.8,108.2,San,G,
,Patty Mills,112.5,108.4,San,G,
,,,,,,0.7073170732
1,Serge Ibaka,113.3,98.7,Tor,F-C,
1,Kawhi Leonard,119.8,104.6,Tor,F,
1,CJ Miles,97.2,100.7,Tor,F-G,
1,Kyle Lowry,114.8,103.3,Tor,G,
1,Danny Green,119.6,103.7,Tor,G-F,
,Jonas Valanciunas,121.3,92.1,Tor,C,
,Chris Boucher,112.8,87.3,Tor,F,
,Pascal Siakam,120.7,100.6,Tor,F,
,Jordan Loyd,129.7,103.4,Tor,G,
,Jodie Meeks,127.1,108.6,Tor,G,
,,,,,,0.6097560976
1,Rudy Gobert,133.8,96.7,Uta,C,
1,Joe Ingles,110.7,102.1,Uta,F,
1,Derrick Favors,124.5,98.1,Uta,F-C,
1,Donovan Mitchell,104.6,101.3,Uta,G,
1,Ricky Rubio,105.1,99,Uta,G,
,Ekpe Udoh,136.2,96.1,Uta,C-F,
,Georges Niang,114.8,98.4,Uta,F,
,Royce O'Neale,108.7,98.1,Uta,F,
,Raul Neto,111.2,99.1,Uta,G,
,Kyle Korver,108.7,102.6,Uta,G-F,
,,,,,,0.3902439024
1,Dwight Howard,116.6,98.6,Was,C,
1,Markieff Morris,105.9,103.6,Was,F,
1,Otto Porter Jr.,110.1,108.8,Was,F,
1,Bradley Beal,113.6,110.2,Was,G,
1,John Wall,104.1,111.5,Was,G,
,Thomas Bryant,130.5,106.9,Was,C,
,Jeff Green,115.3,110.8,Was,F,
,Devin Robinson,127.9,104.4,Was,F,
,Gary Payton II,135.4,97.7,Was,G,
,Tomas Satoransky,120.7,110.3,Was,G-F,
,,,,,,1
