Starter (=1),FULL NAME,TEAM,POS,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,Win %
,Jerryd Bayless,Min,G,98.6,109.6,
,Isaiah Canaan,Min,G,117.2,115.3,
,Tyus Jones,Min,G,116.4,112.2,
,Josh Okogie,Min,G,100.9,106.6,
,Cameron Reynolds,Min,G,118,107.4,
1,Derrick Rose,Min,G,113.6,114.7,
1,Jeff Teague,Min,G,112.4,110.8,
,Jared Terrell,Min,G,74.8,104.2,
,C.J. Williams,Min,G,107.1,104.9,
,Jimmy Butler,Min,G-F,121.7,110.4,
1,Andrew Wiggins,Min,G-F,99.8,111.4,
,,,,,,0.4024390244
,Jahlil Okafor,Nor,C,115.1,104.7,
,Cheick Diallo,Nor,F,119.4,99.2,
,Solomon Hill,Nor,F,103.5,108,
,Stanley Johnson,Nor,F,90.4,106.4,
,Darius Miller,Nor,F,109.6,109.2,
1,Nikola Mirotic,Nor,F,116.3,104.7,
,Julius Randle,Nor,F,113.5,103.5,
,Christian Wood,Nor,F,113.9,105,
1,Anthony Davis,Nor,F-C,122.1,104.5,
,Jason Smith,Nor,F-C,93.3,104,
,Wesley Johnson,Nor,F-G,103.2,104.6,
,Dairis Bertans,Nor,G,85.6,116.3,
,Ian Clark,Nor,G,97.9,108.5,
,Tim Frazier,Nor,G,115.9,106.7,
,Andrew Harrison,Nor,G,91.2,100.5,
1,Jrue Holiday,Nor,G,110.9,110.1,
,Frank Jackson,Nor,G,102.2,110.2,
1,E'Twaun Moore,Nor,G,110.1,110.8,
1,Elfrid Payton,Nor,G,105.8,109.6,
,Kenrich Williams,Nor,G-F,105.1,106.4,
,,,,,,0.2073170732
,DeAndre Jordan,Nyk,C,125.3,103.8,
1,Enes Kanter,Nyk,C,117.7,104.5,
,Mitchell Robinson,Nyk,C,141.4,97.9,
,Henry Ellenson,Nyk,F,107.7,103.3,
,Mario Hezonja,Nyk,F,94.3,105.3,
,Isaiah Hicks,Nyk,F,123.7,99.7,
1,Kevin Knox,Nyk,F,93.7,109.4,
1,Lance Thomas,Nyk,F,97.5,106.7,
,Noah Vonleh,Nyk,F,111.7,103.5,
,Luke Kornet,Nyk,F-C,110.2,111.2,
,Kadeem Allen,Nyk,G,116.2,105.7,
,Ron Baker,Nyk,G,94.7,102.6,
1,Trey Burke,Nyk,G,106,114.1,
,Damyean Dotson,Nyk,G,105.4,110.7,
,Billy Garrett,Nyk,G,97.6,115.5,
1,Tim Hardaway Jr.,Nyk,G,106.5,111.1,
,John Jenkins,Nyk,G,107.4,116.9,
,Courtney Lee,Nyk,G,112.7,107.5,
,Emmanuel Mudiay,Nyk,G,102.3,111.5,
,Frank Ntilikina,Nyk,G,88.1,106.1,
,Dennis Smith Jr.,Nyk,G,96.6,109.7,
,Allonzo Trier,Nyk,G,104.3,109.9,
,Wesley Matthews,Nyk,G-F,78.1,116.7,
,,,,,,0.5975609756
1,Steven Adams,Okc,C,119.9,102.7,
1,Paul George,Okc,F,116.5,100.8,
1,Jerami Grant,Okc,F,119.5,103.8,
,Markieff Morris,Okc,F,105.8,95,
,Abdel Nader,Okc,F,101.9,101.2,
,Patrick Patterson,Okc,F,105.7,107.1,
,Nerlens Noel,Okc,F-C,122.3,91.8,
,Alex Abrines,Okc,G,103.1,103.9,
,Deonte Burton,Okc,G,94.4,99.3,
,Hamidou Diallo,Okc,G,102.8,96.4,
,Raymond Felton,Okc,G,109.7,105.3,
,Terrance Ferguson,Okc,G,111.9,101.8,
1,Dennis Schroder,Okc,G,103,104,
1,Russell Westbrook,Okc,G,105.2,97.2,
,Timothe Luwawu-Cabarrot,Okc,G-F,83.9,100.2,
,,,,,,0.512195122
,Mo Bamba,Orl,C,105.7,95.9,
,Khem Birch,Orl,C,135.8,98.9,
1,Nikola Vucevic,Orl,C,115.4,101,
1,Aaron Gordon,Orl,F,107.3,104.6,
1,Jonathan Isaac,Orl,F,107.1,103.7,
,Wes Iwundu,Orl,F,107.5,102,
,Amile Jefferson,Orl,F,147.3,96,
